NO,飼育頭数,疑似決定,殺処分開始,殺処分終了,殺処分開始までの日数,殺処分完了までの日数,type_of_farm
1,16,04月20日,04月20日,04月20日,0,0,C
2,68,04月21日,04月22日,04月22日,1,1,C
3,118,04月21日,04月22日,04月22日,1,2,C
4,64,04月22日,04月24日,04月24日,2,2,C
5,76,04月23日,04月25日,04月25日,2,2,C
6,44,04月23日,04月24日,04月24日,1,2,M
7,725,04月25日,04月26日,04月26日,1,3,C
8,1019,04月26日,05月01日,05月01日,5,8,C
9,277,04月28日,04月29日,04月29日,1,1,C
10,486,04月28日,04月28日,04月28日,0,0,S
11,50,04月29日,04月30日,04月30日,1,1,C
12,1473,04月30日,04月30日,05月02日,0,2,S
13,3882,05月01日,04月30日,05月04日,,3,S
14,333,05月02日,05月03日,05月04日,1,2,S
15,425,05月02日,05月04日,05月05日,2,3,C
16,4,05月03日,05月03日,05月03日,0,0,C
17,36,05月03日,05月05日,05月05日,2,2,C
18,15957,05月04日,05月03日,05月11日,,7,S
19,3667,05月04日,05月07日,05月11日,3,7,S
20,797,05月04日,05月12日,05月13日,8,9,S
21,686,05月05日,05月13日,05月13日,8,8,S
22,320,05月04日,05月04日,05月04日,0,0,S
23,4724,05月05日,05月09日,05月12日,4,7,S
24,680,05月06日,05月07日,05月08日,1,2,S
25,4601,05月06日,05月14日,05月17日,8,11,S
26,1240,05月06日,05月14日,05月15日,8,9,S
27,29,05月06日,05月11日,05月11日,5,5,C
28,32,05月06日,05月14日,05月14日,8,8,C
29,3689,05月06日,05月09日,05月11日,3,5,S
30,51,05月06日,05月11日,05月11日,5,5,C
31,515,05月06日,05月12日,05月12日,6,6,S
32,1255,05月06日,05月13日,05月14日,7,8,S
33,140,05月06日,05月13日,05月13日,7,7,S
34,75,05月06日,05月10日,05月11日,4,5,C
35,2,05月06日,05月10日,05月10日,4,4,S
36,47,05月07日,05月16日,05月16日,9,9,C
37,6104,05月07日,05月14日,05月17日,7,10,S
38,8378,05月07日,05月16日,05月18日,9,11,S
39,1906,05月07日,05月16日,05月17日,9,10,S
40,19,05月07日,05月30日,05月30日,23,23,C
41,65,05月07日,05月17日,05月17日,10,10,C
42,640,05月07日,05月14日,05月14日,7,7,S
43,112,05月07日,05月12日,05月12日,5,5,C
44,703,05月08日,05月13日,05月14日,5,6,S
45,68,05月08日,05月12日,05月12日,4,4,C
46,9,05月08日,05月13日,05月13日,5,5,C
47,688,05月08日,05月17日,05月20日,9,12,C
48,207,05月08日,05月10日,05月10日,2,2,C
49,186,05月08日,06月01日,06月01日,24,24,C
50,1106,05月09日,05月18日,05月18日,9,9,S
51,654,05月09日,05月18日,05月18日,9,9,S
52,17,05月09日,05月19日,05月19日,10,10,C
53,97,05月09日,05月16日,05月16日,7,7,C
54,124,05月09日,05月13日,05月13日,4,4,C
55,15,05月09日,05月29日,05月29日,20,20,C
56,4,05月09日,06月01日,06月01日,23,23,C
57,835,05月10日,05月20日,05月20日,10,10,S
58,100,05月10日,05月19日,05月19日,9,9,C
59,15,05月10日,05月22日,05月22日,12,12,C
60,9282,05月10日,05月26日,05月28日,16,18,S
61,9,05月10日,05月24日,05月24日,14,14,C
62,15,05月10日,05月22日,05月22日,12,12,C
63,106,05月10日,05月23日,05月24日,13,14,C
64,50,05月10日,05月25日,05月25日,15,15,C
65,50,05月10日,05月17日,05月17日,7,7,C
66,645,05月10日,05月13日,05月15日,3,5,C
67,3064,05月10日,05月18日,05月20日,8,10,S
68,29,05月11日,05月11日,05月11日,0,0,C
69,20,05月11日,05月14日,05月14日,3,3,C
70,153,05月11日,05月21日,05月21日,10,10,S
71,114,05月11日,05月18日,05月18日,7,7,C
72,40,05月12日,05月14日,05月14日,2,2,C
73,288,05月12日,05月15日,05月15日,3,3,C
74,1127,05月12日,05月20日,05月20日,8,8,S
75,163,05月12日,05月21日,05月21日,9,9,S
76,52,05月12日,06月05日,06月05日,24,24,C
77,50,05月13日,05月18日,05月18日,5,5,C
78,108,05月13日,05月21日,05月21日,8,8,C
79,9,05月13日,05月30日,05月30日,17,17,C
80,177,05月13日,05月19日,05月19日,6,6,S
81,211,05月13日,05月24日,05月24日,11,11,S
82,884,05月13日,06月08日,06月08日,26,26,S
83,46,05月13日,05月13日,05月13日,0,0,C
84,37,05月13日,06月06日,06月06日,24,24,C
85,76,05月13日,05月31日,05月31日,18,18,C
86,9,05月13日,05月25日,05月25日,12,12,C
87,26,05月14日,05月26日,05月26日,12,12,C
88,35,05月14日,05月26日,05月26日,12,12,C
89,30,05月14日,05月23日,05月23日,9,9,C
90,13,05月14日,05月23日,05月23日,9,9,C
91,5,05月14日,05月25日,05月25日,11,11,C
92,30,05月15日,05月26日,05月26日,11,11,C
93,32,05月15日,05月24日,05月24日,9,9,C
94,1115,05月15日,05月29日,05月29日,14,14,S
95,147,05月15日,05月22日,05月22日,7,7,C
96,16,05月15日,05月26日,05月26日,11,11,C
97,37,05月15日,05月22日,05月22日,7,7,C
98,8,05月15日,05月27日,05月27日,12,12,C
99,28,05月15日,06月06日,06月06日,22,22,C
100,508,05月15日,05月23日,05月23日,21,22,C
101,308,05月16日,05月15日,05月16日,15,15,C
102,52,05月16日,05月30日,05月30日,14,14,C
103,1411,05月16日,05月30日,05月30日,14,14,S
104,14,05月16日,05月27日,05月27日,11,11,C
105,15,05月16日,05月31日,05月31日,15,15,C
106,669,05月16日,05月26日,05月26日,10,10,S
107,54,05月16日,05月27日,05月27日,11,11,C
108,9,05月16日,05月17日,05月17日,1,1,C
109,1369,05月16日,05月28日,05月28日,12,12,S
110,32,05月16日,05月28日,05月28日,12,12,C
111,220,05月16日,05月17日,05月18日,1,2,C
112,64,05月17日,05月28日,05月28日,11,11,C
113,15,05月17日,05月31日,05月31日,14,14,C
114,39,05月17日,05月29日,05月29日,12,12,C
115,112,05月17日,06月05日,06月05日,19,19,C
116,1372,05月17日,05月31日,05月31日,14,14,S
117,42,05月17日,05月30日,05月30日,13,13,C
118,5699,05月17日,05月25日,05月27日,8,10,S
119,22,05月16日,05月17日,05月17日,1,1,C
120,809,05月17日,06月15日,06月15日,30,30,S
121,36,05月17日,06月06日,06月06日,20,20,C
122,8235,05月17日,05月31日,06月03日,14,17,S
123,124,05月17日,06月01日,06月01日,15,15,C
