NO,éîàÁì™êî,ã[éóåàíË,éEèàï™äJén,éEèàï™èIóπ,,,
0,16,0 ,0 ,0 ,0,0,C
1,68,1 ,2 ,2 ,1,1,C
2,118,1 ,2 ,2 ,1,2,C
3,64,2 ,4 ,4 ,2,2,C
4,76,3 ,5 ,5 ,2,2,C
5,44,3 ,4 ,4 ,1,2,M
6,725,5 ,6 ,6 ,1,3,C
7,1019,6 ,11 ,11 ,5,8,C
8,277,8 ,9 ,9 ,1,1,C
9,486,8 ,8 ,8 ,0,0,S
10,50,9 ,10 ,10 ,1,1,C
11,1473,10 ,10 ,12 ,0,2,S
12,3882,11 ,10 ,14 ,,3,S
13,333,12 ,13 ,14 ,1,2,S
14,425,12 ,14 ,15 ,2,3,C
15,4,13 ,13 ,13 ,0,0,C
16,36,13 ,15 ,15 ,2,2,C
17,15957,14 ,13 ,21 ,,7,S
18,3667,14 ,17 ,21 ,3,7,S
19,797,14 ,22 ,23 ,8,9,S
20,686,15 ,23 ,23 ,8,8,S
21,320,14 ,14 ,14 ,0,0,S
22,4724,15 ,19 ,22 ,4,7,S
23,680,16 ,17 ,18 ,1,2,S
24,4601,16 ,24 ,27 ,8,11,S
25,1240,16 ,24 ,25 ,8,9,S
26,29,16 ,21 ,21 ,5,5,C
27,32,16 ,24 ,24 ,8,8,C
28,3689,16 ,19 ,21 ,3,5,S
29,51,16 ,21 ,21 ,5,5,C
30,515,16 ,22 ,22 ,6,6,S
31,1255,16 ,23 ,24 ,7,8,S
32,140,16 ,23 ,23 ,7,7,S
33,75,16 ,20 ,21 ,4,5,C
34,2,16 ,20 ,20 ,4,4,S
35,47,17 ,26 ,26 ,9,9,C
36,6104,17 ,24 ,27 ,7,10,S
37,8378,17 ,26 ,28 ,9,11,S
38,1906,17 ,26 ,27 ,9,10,S
39,19,17 ,40 ,40 ,23,23,C
40,65,17 ,27 ,27 ,10,10,C
41,640,17 ,24 ,24 ,7,7,S
42,112,17 ,22 ,22 ,5,5,C
43,703,18 ,23 ,24 ,5,6,S
44,68,18 ,22 ,22 ,4,4,C
45,9,18 ,23 ,23 ,5,5,C
46,688,18 ,27 ,30 ,9,12,C
47,207,18 ,20 ,20 ,2,2,C
48,186,18 ,42 ,42 ,24,24,C
49,1106,19 ,28 ,28 ,9,9,S
50,654,19 ,28 ,28 ,9,9,S
51,17,19 ,29 ,29 ,10,10,C
52,97,19 ,26 ,26 ,7,7,C
53,124,19 ,23 ,23 ,4,4,C
54,15,19 ,39 ,39 ,20,20,C
55,4,19 ,42 ,42 ,23,23,C
56,835,20 ,30 ,30 ,10,10,S
57,100,20 ,29 ,29 ,9,9,C
58,15,20 ,32 ,32 ,12,12,C
59,9282,20 ,36 ,38 ,16,18,S
60,9,20 ,34 ,34 ,14,14,C
61,15,20 ,32 ,32 ,12,12,C
62,106,20 ,33 ,34 ,13,14,C
63,50,20 ,35 ,35 ,15,15,C
